Time	EMG
3.53	0.180444
3.531	0.359165
3.532	-0.0371789
3.533	-0.118054
3.534	0.253271
3.535	0.180193
3.536	-0.109275
3.537	-0.161923
3.538	-0.20149
3.539	-0.101845
3.54	0.10576
3.541	0.173092
3.542	0.0932666
3.543	0.134806
3.544	0.0345786
3.545	-0.32751
3.546	-0.194768
3.547	0.0579029
3.548	0.0542598
3.549	-0.0615653
3.55	0.262221
3.551	0.403259
3.552	0.0193196
3.553	-0.312081
3.554	-0.433987
3.555	-0.25882
3.556	0.152675
3.557	0.329081
3.558	0.232728
3.559	0.148299
3.56	-0.113868
3.561	-0.335416
3.562	-0.0752675
3.563	0.166422
3.564	0.146164
3.565	0.0301722
3.566	-0.175019
3.567	-0.224151
3.568	-0.0295521
3.569	0.128553
3.57	0.30387
3.571	0.278198
3.572	-0.155408
3.573	-0.412361
3.574	-0.177695
3.575	0.059281
3.576	0.165221
3.577	0.169716
3.578	0.0982741
3.579	-0.108165
3.58	-0.0961108
3.581	0.0878472
3.582	-0.0357385
3.583	-0.192043
3.584	0.0337284
3.585	0.104643
3.586	0.0239208
3.587	0.0399139
3.588	0.0170085
3.589	-0.0893908
3.59	-0.0128228
3.591	0.137597
3.592	0.0834022
3.593	-0.0763082
3.594	-0.245935
3.595	-0.258728
3.596	0.0838224
3.597	0.373816
3.598	0.249382
3.599	0.0219724
3.6	-0.0862446
3.601	-0.175429
3.602	-0.2389
3.603	-0.147874
3.604	0.0261446
3.605	0.143036
3.606	0.201386
3.607	0.169996
3.608	0.102071
3.609	-0.0527347
3.61	-0.236806
3.611	-0.314068
3.612	-0.0822971
3.613	0.231468
3.614	0.287894
3.615	0.0567823
3.616	-0.14142
3.617	-0.137937
3.618	-0.0549098
3.619	0.119781
3.62	0.147926
3.621	-0.0155793
3.622	-0.187768
3.623	-0.0994455
3.624	0.102555
3.625	0.105409
3.626	0.00893958
3.627	-0.0490125
3.628	-0.0634716
3.629	0.029433
3.63	0.0739707
3.631	-0.0114674
3.632	-0.0333959
3.633	-0.0379448
3.634	-0.0196596
3.635	-0.0306457
3.636	0.0555652
3.637	0.222969
3.638	0.0944882
3.639	-0.215483
3.64	-0.260316
3.641	-0.134537
3.642	0.0173081
3.643	0.166801
3.644	0.230777
3.645	0.181013
3.646	0.0470134
3.647	-0.0772598
3.648	-0.112548
3.649	-0.206817
3.65	-0.383189
3.651	-0.16371
3.652	0.355066
3.653	0.477377
3.654	0.23307
3.655	-0.102872
3.656	-0.249411
3.657	-0.165196
3.658	-0.106544
3.659	0.00320325
3.66	0.0783745
3.661	-0.0566022
3.662	-0.0468517
3.663	0.175543
