Time	Lead II
7.87	0.162011
7.88	0.129766
7.89	0.155455
7.9	0.117504
7.91	0.087286
7.92	0.0257748
7.93	-0.0730912
7.94	-0.0860049
7.95	-0.122128
7.96	-0.132025
7.97	-0.185745
7.98	-0.124634
7.99	0.36805
8	0.863891
8.01	0.749665
8.02	0.252029
8.03	-0.0893807
8.04	-0.137618
8.05	-0.194095
8.06	-0.196519
8.07	-0.199371
8.08	-0.21325
8.09	-0.162736
8.1	-0.161714
8.11	-0.158505
8.12	-0.1715
8.13	-0.201338
8.14	-0.172619
8.15	-0.21514
8.16	-0.167248
8.17	-0.109361
8.18	-0.112232
8.19	-0.0753249
8.2	-0.056469
8.21	0.025754
8.22	0.0974192
8.23	0.0712461
8.24	0.108293
8.25	0.100839
8.26	0.130725
8.27	0.126572
8.28	0.0753945
8.29	0.0897947
8.3	0.0621565
8.31	0.0309739
8.32	0.021742
8.33	0.0181798
8.34	0.042107
8.35	0.0442511
8.36	0.133506
8.37	0.213546
8.38	0.140356
8.39	0.0931472
8.4	0.0222943
8.41	0.00669045
8.42	0.00607815
8.43	-0.0889807
8.44	-0.141679
8.45	-0.218335
8.46	-0.222125
8.47	0.135038
8.48	0.665664
8.49	0.84603
8.5	0.438636
8.51	-0.0243366
8.52	-0.256256
8.53	-0.257349
8.54	-0.176212
8.55	-0.234003
8.56	-0.237791
8.57	-0.181271
8.58	-0.213128
8.59	-0.214707
8.6	-0.198523
8.61	-0.139016
8.62	-0.165044
8.63	-0.210208
8.64	-0.149468
8.65	-0.116553
8.66	-0.0570794
8.67	-0.0214479
8.68	-0.0273081
8.69	0.0783083
8.7	0.125193
8.71	0.148506
8.72	0.211617
8.73	0.201579
8.74	0.209737
8.75	0.225697
8.76	0.231416
8.77	0.222004
8.78	0.168004
8.79	0.129519
8.8	0.0850686
8.81	0.100103
8.82	0.0849021
8.83	0.0821892
8.84	0.148214
8.85	0.0659045
8.86	0.0920045
8.87	0.191832
8.88	0.184371
8.89	0.202568
8.9	0.113893
8.91	0.00241218
8.92	-0.011542
8.93	-0.0759893
8.94	-0.0726063
8.95	-0.146866
8.96	-0.178016
8.97	0.0237841
8.98	0.459052
8.99	0.754435
9	0.412488
9.01	-0.0551484
9.02	-0.274636
9.03	-0.365555
9.04	-0.337347
9.05	-0.362324
9.06	-0.379701
9.07	-0.316928
9.08	-0.331682
9.09	-0.29546
9.1	-0.30911
9.11	-0.353236
9.12	-0.334862
9.13	-0.318209
9.14	-0.27121
9.15	-0.339839
9.16	-0.348229
9.17	-0.2515
9.18	-0.187269
9.19	-0.128963
9.2	-0.0606716
9.21	0.0450507
9.22	0.126299
9.23	0.147122
9.24	0.133094
9.25	0.102148
9.26	0.054053
9.27	-0.0519321
9.28	-0.0976707
9.29	-0.0141864
9.3	-0.0696816
9.31	-0.0824518
9.32	-0.0606073
9.33	-0.0545402
9.34	0.0211903
9.35	-0.00121797
9.36	-0.0246692
9.37	-0.028586
9.38	-0.0252532
9.39	0.0445341
9.4	0.0716659
9.41	0.044359
9.42	0.022904
9.43	-0.0451256
9.44	-0.0527706
9.45	-0.124921
9.46	-0.156149
9.47	-0.146839
9.48	-0.224343
9.49	-0.205095
9.5	0.107578
9.51	0.675208
9.52	0.94007
9.53	0.562398
9.54	0.26998
9.55	0.117838
9.56	0.0543847
9.57	0.11287
9.58	0.228744
9.59	0.331765
9.6	0.314784
9.61	0.319987
9.62	0.341335
9.63	0.288344
9.64	0.273672
9.65	0.265603
9.66	0.231463
9.67	0.203212
9.68	0.234212
9.69	0.313607
9.7	0.351956
9.71	0.359278
9.72	0.375115
9.73	0.48886
9.74	0.641564
9.75	0.636208
9.76	0.607746
9.77	0.515974
9.78	0.439799
9.79	0.461758
9.8	0.46463
9.81	0.379788
9.82	0.280215
9.83	0.238303
9.84	0.332989
9.85	0.268126
9.86	0.234027
9.87	0.30309
9.88	0.338524
9.89	0.349749
9.9	0.374509
9.91	0.508385
9.92	0.579453
9.93	0.603656
9.94	0.703069
9.95	0.710835
9.96	0.605237
9.97	0.36183
9.98	0.091254
9.99	-0.0252722
10	-0.157021
10.01	-0.275918
10.02	-0.348812
10.03	-0.484539
10.04	-0.318174
10.05	0.102869
10.06	0.377478
10.07	0.085864
10.08	-0.415537
10.09	-0.700104
10.1	-0.891186
10.11	-0.884291
10.12	-0.738809
10.13	-0.66139
10.14	-0.601851
10.15	-0.657537
10.16	-0.701035
10.17	-0.624477
10.18	-0.567656
10.19	-0.593835
10.2	-0.64064
10.21	-0.655806
10.22	-0.721046
10.23	-0.729127
10.24	-0.654412
10.25	-0.668402
10.26	-0.64514
10.27	-0.496364
10.28	-0.384888
10.29	-0.289472
10.3	-0.119265
10.31	0.020078
10.32	0.0280526
10.33	0.0658827
10.34	0.203755
10.35	0.205975
10.36	0.233194
10.37	0.289961
10.38	0.267235
10.39	0.339778
10.4	0.387439
10.41	0.398854
10.42	0.41025
10.43	0.391458
10.44	0.463012
10.45	0.525559
10.46	0.496582
10.47	0.379679
10.48	0.197996
10.49	0.0133558
10.5	-0.142616
10.51	-0.216272
10.52	-0.277212
10.53	-0.442817
10.54	-0.43318
10.55	-0.0851914
10.56	0.454755
10.57	0.516848
10.58	0.103488
10.59	-0.205778
10.6	-0.401612
10.61	-0.45925
10.62	-0.426167
10.63	-0.453281
10.64	-0.446441
10.65	-0.451129
10.66	-0.44728
10.67	-0.432438
10.68	-0.475921
10.69	-0.458107
10.7	-0.410766
10.71	-0.441595
10.72	-0.488265
10.73	-0.52855
10.74	-0.520149
10.75	-0.544216
10.76	-0.471828
10.77	-0.399834
10.78	-0.365133
10.79	-0.270224
10.8	-0.240481
10.81	-0.209037
10.82	-0.184688
10.83	-0.220051
10.84	-0.219217
10.85	-0.267043
10.86	-0.292619
10.87	-0.273619
10.88	-0.283229
10.89	-0.229125
10.9	-0.222531
10.91	-0.13419
10.92	-0.00594007
10.93	0.050395
10.94	0.164086
10.95	0.227385
10.96	0.216997
10.97	0.176423
10.98	0.0582446
10.99	0.0360385
11	0.043354
11.01	0.0130095
11.02	-0.0300333
11.03	-0.0033809
11.04	0.305992
11.05	0.811584
11.06	1.03854
11.07	0.711968
11.08	0.266762
11.09	0.0566555
11.1	-0.0979722
11.11	-0.142836
11.12	-0.0864085
11.13	-0.101322
11.14	-0.133158
11.15	-0.143195
11.16	-0.149287
11.17	-0.153179
11.18	-0.188394
11.19	-0.158198
11.2	-0.152993
11.21	-0.162868
11.22	-0.156017
11.23	-0.139789
11.24	-0.0564472
11.25	-0.00372317
11.26	0.0687644
11.27	0.19592
11.28	0.273459
11.29	0.286291
11.3	0.229605
11.31	0.220427
11.32	0.211916
11.33	0.0681879
11.34	-0.0142324
11.35	-0.0949535
11.36	-0.200711
11.37	-0.24098
11.38	-0.290836
11.39	-0.278074
11.4	-0.303066
11.41	-0.313783
11.42	-0.285763
11.43	-0.244879
11.44	-0.165896
11.45	-0.171891
11.46	-0.160491
11.47	-0.174977
11.48	-0.291332
11.49	-0.320504
11.5	-0.320725
11.51	-0.305688
11.52	-0.277142
11.53	-0.193194
11.54	0.160296
11.55	0.66448
11.56	0.765853
11.57	0.442018
11.58	0.120728
