Time	Lead II
6.66	0.00417044
6.67	-0.051081
6.68	-0.0126433
6.69	-0.013437
6.7	-0.059261
6.71	0.00753328
6.72	-0.0568195
6.73	-0.0279639
6.74	-0.0316164
6.75	-0.075286
6.76	-0.0113949
6.77	-0.0699282
6.78	-0.0324939
6.79	-0.0342435
6.8	-0.0647513
6.81	-0.00181067
6.82	-0.0663288
6.83	-0.0307298
6.84	-0.0402278
6.85	-0.0859783
6.86	-0.0180243
6.87	-0.0698659
6.88	-0.0238843
6.89	-0.0305079
6.9	-0.0693688
6.91	-0.00777575
6.92	-0.0650728
6.93	-0.0204185
6.94	-0.0281982
6.95	-0.0531794
6.96	0.0418599
6.97	0.00501522
6.98	0.0531578
6.99	0.0474511
7	0.00925497
7.01	0.0584789
7.02	-0.0339645
7.03	-0.0239221
7.04	-0.0524137
7.05	-0.0910173
7.06	-0.0279649
7.07	-0.0327217
7.08	0.19394
7.09	0.385186
7.1	0.31042
7.11	0.103443
7.12	-0.167654
7.13	-0.145489
7.14	-0.0959799
7.15	-0.0897633
7.16	-0.012727
7.17	-0.0659864
7.18	-0.019724
7.19	-0.0302698
7.2	-0.0534736
7.21	0.0128918
7.22	-0.0433778
7.23	0.0133428
7.24	0.0105505
7.25	-0.0151326
7.26	-0.0573584
7.27	-0.118833
7.28	0.00534033
7.29	0.0990864
7.3	0.0990632
7.31	0.19488
7.32	0.159972
7.33	0.210344
7.34	0.232562
7.35	0.1718
7.36	0.198232
7.37	0.101309
7.38	0.0928211
7.39	0.0599397
7.4	-0.0155583
7.41	0.0283244
7.42	-0.046189
7.43	-0.0192101
7.44	-0.0146907
7.45	-0.0566998
7.46	0.0116625
7.47	-0.0503403
7.48	-0.0233622
7.49	-0.0237569
7.5	-0.0677067
7.51	0.000645132
7.52	-0.057584
7.53	-0.0249537
7.54	-0.0168399
7.55	-0.0500488
7.56	0.0129372
7.57	-0.0543095
7.58	-0.0194859
7.59	-0.0102062
7.6	-0.0472675
7.61	0.0137449
7.62	-0.0501299
7.63	-0.0224845
7.64	-0.0167338
7.65	-0.0530011
7.66	0.00851926
7.67	-0.055068
7.68	-0.0203773
7.69	-0.0244357
7.7	-0.0621631
7.71	0.00892238
7.72	-0.0560466
7.73	-0.0329754
7.74	-0.0382639
7.75	-0.065973
7.76	-0.000171637
7.77	-0.0673351
7.78	-0.0372662
7.79	-0.0355058
7.8	-0.0592377
7.81	0.00580642
7.82	-0.0639338
7.83	-0.0349452
7.84	-0.0463302
7.85	-0.0789661
7.86	-0.00970937
7.87	-0.0540859
7.88	0.0146616
7.89	0.0343651
7.9	0.0124967
7.91	0.0783111
7.92	0.00837225
7.93	0.0318604
7.94	-0.0104334
7.95	-0.081729
7.96	-0.0409837
7.97	-0.0974266
7.98	-0.0386906
7.99	0.00535288
8	0.137891
8.01	0.396544
8.02	0.307557
8.03	0.0924215
8.04	-0.131688
8.05	-0.190032
8.06	-0.0699476
8.07	-0.0910294
8.08	-0.0358761
8.09	-0.0436486
8.1	-0.0701519
8.11	-0.010163
8.12	-0.0670926
8.13	-0.00761081
8.14	-0.00702861
8.15	-0.0285816
8.16	0.046255
8.17	0.111739
8.18	0.147699
8.19	0.100767
8.2	0.0279329
8.21	0.113794
8.22	0.0918358
8.23	0.155446
8.24	0.199997
8.25	0.165312
8.26	0.223885
8.27	0.158335
8.28	0.164502
8.29	0.134993
8.3	0.0462642
8.31	0.0710892
8.32	-0.022117
8.33	-0.010314
8.34	-0.00606711
8.35	-0.0547681
8.36	0.000957424
8.37	-0.0703728
8.38	-0.0414511
8.39	-0.0305493
8.4	-0.0759579
8.41	-0.0138683
8.42	-0.0746696
8.43	-0.042158
8.44	-0.0371658
8.45	-0.0721526
8.46	-0.00515696
8.47	-0.0663183
8.48	-0.0335925
8.49	-0.0264148
8.5	-0.0656011
8.51	-0.00469728
8.52	-0.0644546
8.53	-0.034396
8.54	-0.0388607
8.55	-0.0882655
8.56	-0.0283521
8.57	-0.0815709
8.58	-0.0358528
8.59	-0.0280379
8.6	-0.0672623
8.61	-0.0111921
8.62	-0.0837727
8.63	-0.056206
8.64	-0.0565094
8.65	-0.0938224
8.66	-0.0189654
8.67	-0.069779
8.68	-0.0296524
8.69	-0.0365913
8.7	-0.0809601
8.71	-0.0210671
8.72	-0.0879571
8.73	-0.0563445
8.74	-0.0573447
8.75	-0.0861111
8.76	-0.0197581
8.77	-0.0786093
8.78	-0.0325356
8.79	-0.0296663
8.8	-0.0500836
8.81	0.0313721
8.82	-0.0127568
8.83	0.0415664
8.84	0.0388678
8.85	-0.00475314
8.86	0.0323054
8.87	-0.0644648
8.88	-0.0480044
8.89	-0.0689369
8.9	-0.110022
8.91	-0.0279528
8.92	0.0379741
8.93	0.300629
8.94	0.386448
8.95	0.171479
8.96	-0.0330561
8.97	-0.203491
8.98	-0.12543
8.99	-0.082651
9	-0.0874816
9.01	-0.0190819
9.02	-0.0752526
9.03	-0.023272
9.04	-0.0321353
9.05	-0.0609955
9.06	0.0157801
9.07	0.0990048
9.08	0.137953
9.09	0.0845031
9.1	-0.00716137
9.11	0.0549069
9.12	0.0196791
9.13	0.075789
9.14	0.112964
9.15	0.101739
9.16	0.196697
9.17	0.155084
9.18	0.190104
9.19	0.197526
9.2	0.133454
9.21	0.161165
9.22	0.0591497
9.23	0.0501243
9.24	0.0296607
9.25	-0.0325777
9.26	0.0226279
9.27	-0.0492501
9.28	-0.0228177
9.29	-0.0197307
9.3	-0.0751309
9.31	-0.02085
9.32	-0.0831981
9.33	-0.0516574
9.34	-0.0445109
9.35	-0.0836042
9.36	-0.00908784
9.37	-0.0637144
9.38	-0.0350961
9.39	-0.0247375
9.4	-0.0665891
9.41	-0.00647124
9.42	-0.0578467
9.43	-0.0188289
9.44	-0.0181308
9.45	-0.0600016
9.46	0.00243109
9.47	-0.0526042
9.48	-0.0163003
9.49	-0.0185822
9.5	-0.0596965
9.51	-0.0026981
9.52	-0.0773481
9.53	-0.0435816
9.54	-0.0379469
9.55	-0.0691335
9.56	-0.00261094
9.57	-0.0642081
9.58	-0.0271955
9.59	-0.0287288
9.6	-0.0757375
9.61	-0.0245011
9.62	-0.0852545
9.63	-0.0384515
9.64	-0.0341126
9.65	-0.069928
9.66	-0.00625661
9.67	-0.0732672
9.68	-0.0436797
9.69	-0.0459313
9.7	-0.0695435
9.71	0.00455476
9.72	-0.0437833
9.73	0.0222043
9.74	0.0488301
9.75	0.0257659
9.76	0.0762375
9.77	-0.0129991
9.78	-0.00399733
9.79	-0.0400845
9.8	-0.0885211
9.81	-0.0299699
9.82	-0.0862716
9.83	0.0193345
9.84	0.193333
9.85	0.334375
9.86	0.33564
9.87	0.0204493
9.88	-0.12593
9.89	-0.158046
9.9	-0.134089
9.91	-0.0295345
9.92	-0.0788168
9.93	-0.0306812
9.94	-0.0316441
9.95	-0.04977
9.96	0.0140478
9.97	-0.0762645
9.98	-0.161985
9.99	-0.115467
10	-0.0827788
10.01	0.0292398
10.02	-0.00297034
10.03	0.0465958
10.04	0.0874939
10.05	0.0572434
10.06	0.135566
10.07	0.10521
10.08	0.157943
10.09	0.190834
10.1	0.15064
10.11	0.202461
10.12	0.121319
10.13	0.12445
10.14	0.0875702
10.15	-0.00359282
10.16	0.045289
10.17	-0.0187023
10.18	-0.000237121
10.19	-0.0049102
10.2	-0.0595324
10.21	-0.000333315
10.22	-0.0638253
10.23	-0.0282819
10.24	-0.0153262
10.25	-0.0653104
10.26	-0.0103974
10.27	-0.0721866
10.28	-0.0321558
10.29	-0.026708
10.3	-0.0659106
10.31	0.0095118
10.32	-0.0412911
10.33	-0.00673616
10.34	-0.0115001
10.35	-0.0648193
10.36	0.00246188
10.37	-0.0519585
10.38	-0.0237438
10.39	-0.0169106
10.4	-0.0515471
10.41	0.00529367
10.42	-0.0611419
10.43	-0.0222499
10.44	-0.0179303
10.45	-0.0624468
10.46	-0.00405599
10.47	-0.0688724
10.48	-0.0325989
10.49	-0.0246411
10.5	-0.0607683
10.51	-0.00724845
10.52	-0.0722981
10.53	-0.0328513
10.54	-0.0298125
10.55	-0.0709044
10.56	-0.0100801
10.57	-0.0641076
